-7,88,28
-4,90,20
-8,87,8
0,76,-5
-1,67,-1
0,63,4
-2,51,18
0,44,20
0,33,13
-1,31,9
-6,31,7
-10,35,7
-12,51,17
-7,58,21
4,70,17
8,78,22
6,84,22
13,95,14
14,91,11
34,74,11
35,65,8
34,48,-3
33,51,-6
32,55,6
27,48,13
20,35,22
23,34,12
19,34,4
20,38,6
27,44,9
35,59,12
37,66,10
40,75,5
38,75,7
36,80,12
36,84,11
29,81,2
14,71,-10
13,65,-11
14,61,-9
19,57,-5
21,45,8
21,38,13
17,32,12
11,35,7
5,42,0
6,48,1
14,51,18
18,67,17
20,71,14
20,81,13
24,86,15
31,94,17
35,97,14
48,79,0
47,63,-4
37,47,0
27,48,4
14,47,4
9,37,6
8,32,8
8,30,11
8,30,11
15,37,16
18,44,15
23,58,17
20,66,19
18,80,17
16,81,15
14,85,17
16,93,22
16,88,20
10,78,-1
9,74,-12
8,66,-11
3,60,-8
-1,47,7
-3,41,13
1,34,15
2,33,11
2,34,7
-1,47,8
-1,54,14
1,68,21
5,74,22
7,81,20
9,83,19
13,98,19
14,99,20
28,86,17
34,74,9
31,50,10
13,54,13
6,55,12
3,43,12
3,38,13
-1,34,11
-3,35,10
0,41,17
4,47,19
9,60,21
9,65,22
8,74,20
5,77,19
4,81,21
6,91,22
10,90,15
4,80,-9
3,76,-14
0,69,-9
3,64,3
10,47,24
11,39,24
2,29,10
0,28,5
1,32,9
2,50,19
6,59,24
11,72,22
10,78,19
10,88,20
15,97,21
18,94,28
22,89,23
34,70,8
34,50,10
30,48,16
17,51,18
13,48,14
8,38,13
7,34,12
2,34,9
1,36,13
3,45,18
7,55,19
12,67,27
10,77,23
7,79,18
3,81,17
3,88,17
13,94,17
14,87,11
8,74,-1
3,71,-7
-4,64,-8
-5,59,-2
-1,44,11
-1,34,11
-1,33,9
-4,33,10
-6,38,11
-4,52,17
-3,60,19
1,71,24
-1,75,24
-2,87,21
0,93,18
3,99,22
17,88,27
32,76,23
37,51,25
29,47,27
8,49,17
-1,47,11
-2,35,11
-2,31,11
-5,29,9
-9,30,9
-10,43,14
-5,62,21
-2,68,27
-3,78,29
-4,80,24
-6,78,16
